stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
ECUIL-E,3439,"ECUILLE",,47.616060,-0.562680,,,0,zone_ECUILLE,,0
ECUILL,3505,"ECUILLE",,47.616111,-0.562674,,,0,zone_ECUILLE,,0
EDF,6009,"BERGERIE",,47.487471,-0.471337,,,0,zone_BERGERIE,,0
EDF-E,16211,"BERGERIE",,47.487421,-0.471350,,,0,zone_BERGERIE,,0
EGLTRE-E,1318,"EGLISE DE TRELAZE",,47.445500,-0.464537,,,0,zone_EGLISE_DE_TRELAZE,,1
EGLTRELA,208,"EGLISE DE TRELAZE",,47.445543,-0.464873,,,0,zone_EGLISE_DE_TRELAZE,,1
ELYSEE,18951,"ELYSEE",,47.473583,-0.584609,,,0,zone_ELYSEE,,0
ELYSEE-E,20767,"ELYSEE",,47.473638,-0.584930,,,0,zone_ELYSEE,,0
EMPIRE,15565,"EMPIRE",,47.423144,-0.592888,,,0,zone_EMPIRE,,0
EMPIRE-E,15466,"EMPIRE",,47.422892,-0.593252,,,0,zone_EMPIRE,,0
EPINAY,158422,"L'EPINAY",,47.432610,-0.377319,,,0,zone_L'EPINAY,,0
EPINAY-E,729440,"L'EPINAY",,47.432610,-0.377319,,,0,zone_L'EPINAY,,0
EPIRE,27409,"EPIRE",,47.398530,-0.634584,,,0,zone_EPIRE,,0
EPIRE-E,7152,"EPIRE",,47.398196,-0.634451,,,0,zone_EPIRE,,0
ERIGNE,30529,"ERIGNE",,47.400465,-0.531061,,,0,zone_ERIGNE,,1
ERIGNE-E,31182,"ERIGNE",,47.401424,-0.529747,,,0,zone_ERIGNE,,1
ESA,6717,"ESA",,47.458501,-0.544922,,,0,zone_ESA,,1
ESA-E,19309,"ESA",,47.458950,-0.545318,,,0,zone_ESA,,1
ESATBE-E,611355,"ESAT LES BEJONNIERES",,47.481346,-0.510165,,,0,zone_ESAT_BEJONNIERES,,0
ESATBEJO,241355,"ESAT LES BEJONNIERES",,47.481290,-0.510116,,,0,zone_ESAT_LES_BEJONNIERES,,0
ESCALAV,28477,"ESSCA",,47.477318,-0.598860,,,0,zone_ESSCA,,0
