stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
StopPoint:MANGR03,"Gares","",47.99614,0.192429,,,0,StopArea:MANPLA_GAREN,1
StopPoint:MANBBI1,"Bobillot","",47.992508,0.194613,,,0,StopArea:MANPLA_BOBIL,1
StopPoint:MANMAC1,"Jean Macé","",47.990211,0.19346,,,0,StopArea:MANPLA_JMACE,0
StopPoint:MANGAU1,"Jean-Michel Gaudré","",47.988976,0.190401,,,0,StopArea:MANPLA_JEANM,1
StopPoint:MANBAT1,"Batignolles","",47.98774,0.188147,,,0,StopArea:MANPLA_BATIG,1
StopPoint:MANFUS1,"Fusains","",47.984997,0.186409,,,0,StopArea:MANPLA_FUSAI,1
StopPoint:MANLAP1,"La Pointe","",47.984192,0.186616,,,0,StopArea:MANPLA_LAPOI,1
StopPoint:MANPLY1,"Polygone","",47.984142,0.191281,,,0,StopArea:MANPLA_POLYG,0
StopPoint:MANBEU1,"Bleuets","",47.983898,0.194655,,,0,StopArea:MANPLA_BLEUE,0
StopPoint:MANFRO1,"Fromendière","",47.984024,0.199567,,,0,StopArea:MANPLA_FROME,1
StopPoint:MANBOB1,"Bobet","",47.983192,0.204318,,,0,StopArea:MANPLA_BOBET,1
StopPoint:MANCMA1,"Champ de Mars","",47.982273,0.207155,,,0,StopArea:MANPLA_CHMAR,1
StopPoint:MANPJM1,"Pontlieue - Jean Mac","",47.982918,0.21139,,,0,StopArea:MANPLA_PONTL,1
StopPoint:MANCUG3,"Cugnot","",47.981552,0.218333,,,0,StopArea:MANPLA_CUGNO,1
StopPoint:MANARR1,"Arromanches","",47.984375,0.222708,,,0,StopArea:MANPLA_ARROM,1
StopPoint:MANDIE1,"Diesel","",47.982628,0.225766,,,0,StopArea:MANPLA_DIESE,0
StopPoint:MANDIE2,"Diesel","",47.98296,0.225726,,,0,StopArea:MANPLA_DIESE,0
StopPoint:MANARR2,"Arromanches","",47.984127,0.222128,,,0,StopArea:MANPLA_ARROM,1
StopPoint:MANCUG2,"Cugnot","",47.98138,0.217294,,,0,StopArea:MANPLA_CUGNO,1
StopPoint:MANMRN1,"Marne","",47.982548,0.213321,,,0,StopArea:MANPLA_MARNE,1
StopPoint:MANPJM2,"Pontlieue - Jean Mac","",47.98291,0.211886,,,0,StopArea:MANPLA_PONTL,1
StopPoint:MANCMA2,"Champ de Mars","",47.982494,0.206905,,,0,StopArea:MANPLA_CHMAR,1
StopPoint:MANBOB2,"Bobet","",47.983231,0.204289,,,0,StopArea:MANPLA_BOBET,1
StopPoint:MANPIE1,"Pied Sec","",47.984333,0.201618,,,0,StopArea:MANPLA_PIEDS,0
StopPoint:MANBRB1,"Barbusse","",47.986,0.196821,,,0,StopArea:MANPLA_BARBU,0
StopPoint:MANLIL1,"Lilas","",47.985031,0.195587,,,0,StopArea:MANPLA_LILAS,0
StopPoint:MANBEU2,"Bleuets","",47.983894,0.194923,,,0,StopArea:MANPLA_BLEUE,0
StopPoint:MANPLY2,"Polygone","",47.984596,0.19007,,,0,StopArea:MANPLA_POLYG,0
StopPoint:MANBAT2,"Batignolles","",47.987583,0.188046,,,0,StopArea:MANPLA_BATIG,0
StopPoint:MANGAU2,"Jean-Michel Gaudré","",47.989315,0.191232,,,0,StopArea:MANPLA_JEANM,0
StopPoint:MANMAC2,"Jean Macé","",47.990185,0.193542,,,0,StopArea:MANPLA_JMACE,0
StopPoint:MANBBI2,"Bobillot","",47.992588,0.194664,,,0,StopArea:MANPLA_BOBIL,1
StopPoint:MANGAR2,"Gares","",47.995781,0.193636,,,0,StopArea:MANPLA_GAREN,1
StopPoint:MANFRA2,"Anatole France","",48.001675,0.184389,,,0,StopArea:MANPLA_ANATO,1
StopPoint:MANLIB2,"Libération","",48.004475,0.187304,,,0,StopArea:MANPLA_LIBER,1
StopPoint:MANVER2,"Le Verger","",48.031441,0.2049,,,0,StopArea:MANPLA_LEVER,1
StopPoint:MANCCT2,"Jean Cocteau","",48.02795,0.202453,,,0,StopArea:MANPLA_JEANC,1
StopPoint:MANLPX2,"La Paix","",48.024216,0.202269,,,0,StopArea:MANPLA_LAPAI,1
StopPoint:MANEGL2,"Église Coulaines","",48.024235,0.204829,,,0,StopArea:MANPLA_EGCOU,1
StopPoint:MANEGC1,"Église Coulaines","",48.024357,0.205629,,,0,StopArea:MANPLA_EGCOU,1
StopPoint:MANEUR2,"Europe","",48.022049,0.206782,,,0,StopArea:MANPLA_EUROP,1
StopPoint:MANCOP2,"Copenhague","",48.019958,0.20629,,,0,StopArea:MANPLA_COPEN,0
StopPoint:MANPLJ1,"Paul-Louis Jacques","",48.017712,0.206769,,,0,StopArea:MANPLA_PAULL,0
StopPoint:MANTOL1,"Léon Tolstoï","",48.019444,0.209609,,,0,StopArea:MANPLA_LEONT,1
StopPoint:MANBEL3,"Bellevue - Hauts de Coulaines","",48.020073,0.211944,,,0,StopArea:MANPLA_BELLE,1
StopPoint:MANZAM3,"Zamenhof","",48.016933,0.219029,,,0,StopArea:MANPLA_ZAMEN,1
StopPoint:MANBRN1,"Tristan Bernard","",48.013416,0.222415,,,0,StopArea:MANPLA_TRIST,1
StopPoint:MANBRZ1,"Savorgnan de Brazza","",48.012035,0.22373,,,0,StopArea:MANPLA_SAVOR,1
StopPoint:MANPDX1,"Perdrix","",48.010117,0.225563,,,0,StopArea:MANPLA_PERDR,1
StopPoint:MANARD1,"Ardoise","",48.009048,0.226746,,,0,StopArea:MANPLA_ARDOI,1
StopPoint:MANGAZ2,"Gazonfier","",48.006039,0.227831,,,0,StopArea:MANPLA_GAZON,0
StopPoint:MANCHB2,"Charbonnière","",48.003044,0.230391,,,0,StopArea:MANPLA_CHARB,1
StopPoint:MANDEV2,"Alfred de Vigny","",48.002037,0.227965,,,0,StopArea:MANPLA_ALFRE,1
StopPoint:MANPRU2,"Sully Prudhomme","",48.001579,0.230972,,,0,StopArea:MANPLA_SULLY,1
StopPoint:MANAPO2,"Guillaume Apollinaire","",47.999966,0.231278,,,0,StopArea:MANPLA_GUILL,1
StopPoint:MANMRV2,"Marivaux","",47.999439,0.227613,,,0,StopArea:MANPLA_MARIV,1
StopPoint:MANBOL1,"Bollée","",47.996552,0.222997,,,0,StopArea:MANPLA_BOLLE,0
StopPoint:MANPYR1,"Pyrénées","",47.992676,0.225203,,,0,StopArea:MANPLA_PYREN,1
StopPoint:MANESC1,"ESCRA","",47.980671,0.233857,,,0,StopArea:MANPLA_ESCRA,1
StopPoint:MANPLT1,"Platanes","",47.978413,0.234429,,,0,StopArea:MANPLA_PLATA,1
StopPoint:MANGRN1,"Grenoble","",47.97612,0.234065,,,0,StopArea:MANPLA_GRENO,1
